10	11	12	14	15	18	19	20	21	22	23	26	27	28	32	33	35	46	5	52	62	69	80	82	88	93	96	97	98	99
01	0	0	0	0	0	1	15	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	6	0
02	0	0	0	0	1	17	18	20	0	0	0	0	1	0	0	0	0	4	0	0	0	0	20	0	0	1	0	0	0	1
03	0	0	0	0	0	0	24	3	2	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
04	3	1	105	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
05	24	0	127	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	1	2	0	0	0	0	0
06	0	0	5	2	0	0	3	0	0	0	45	1	0	15	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
07	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0
08	0	0	3	0	0	0	57	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
09	0	0	0	0	4	4	9	0	0	1	0	0	0	0	2	1	1	0	0	3	8	0	3	0	0	0	0	0	0	0
10	0	0	0	0	34	42	13	1	4	0	0	0	0	0	5	1	0	0	0	0	0	0	9	0	0	1	0	0	0	0
