"id"	"kern95"	"kern50"	"MCP95"
"01"	523.022140722656	117.535478271484	86.87275
"02"	1301.20511196289	147.558869470215	605.69715
"03"	236.738727001953	35.8669811767578	74.6344
"04"	538.842300744629	67.3646219238281	76.7017
"05"	133.792923254395	16.5043619628906	58.0063
"07"	70.7606321533203	11.74432109375	16.7486
"08"	10.3808620361328	1.45840559082031	2.41785
"09"	92.7730553955078	13.6557485717773	7.89485
"10"	1007.13518837891	241.066521655273	139.7848
"11"	685.724170898437	85.5701640625	136.19165
"all"	1943.10252319336	202.884820080566	1080.5268
