Animal_ID,Tag_ID,initial_timestamp,end_timestamp,sex,body_mass_g
1,41,2010-07-11 11:56:00,2010-07-14 20:38:00,M,22
2,42,2010-07-20 18:00:00,2010-07-22 21:07:00,F,21
3,43,2010-07-28 18:00:00,2010-07-30 17:33:00,F,22
4,44,2010-08-01 17:07:00,2010-08-03 21:00:00,M,22
5,46,2010-07-31 18:00:00,2010-08-06 21:25:00,M,20
11,49,2010-07-25 18:29:00,2010-07-26 18:51:00,0,0
6,50,2010-07-11 18:00:00,2010-07-18 19:29:01,F,22
7,62,2009-07-18 16:25:00,2009-07-18 19:35:00,M,21
8,64,2009-08-04 12:00:00,2009-08-08 18:30:00,F,20
9,65,2009-07-11 12:00:00,2009-07-14 22:12:00,F,22
10,66,2009-07-29 18:00:00,2009-08-02 20:47:00,F,21
