"Tag_ID","Animal_ID","x","y","date","time","position"
42,2,203592,7566765,"2010-07-22","20:33:01","horizontal"
42,2,203598,7566550,"2010-07-22","20:33:02","horizontal"
42,2,204006,7566480,"2010-07-22","20:34:00","horizontal"
42,2,204026,7566266,"2010-07-22","20:34:01","horizontal"
42,2,203870,7566073,"2010-07-22","20:37:00","horizontal"
42,2,203788,7566525,"2010-07-22","20:37:01","vertical"
42,2,203518,7566157,"2010-07-22","20:46:00","horizontal"
42,2,203536,7566638,"2010-07-22","20:47:00","horizontal"
42,2,203656,7566663,"2010-07-22","20:47:01","horizontal"
42,2,203469,7566709,"2010-07-22","20:47:02","horizontal"
42,2,204647,7565564,"2010-07-22","20:48:00","horizontal"
42,2,204292,7565804,"2010-07-22","20:48:01","vertical"
42,2,206125,7567323,"2010-07-22","20:57:00","horizontal"
42,2,204050,7566957,"2010-07-22","20:57:01","horizontal"
42,2,203816,7567177,"2010-07-22","20:58:00","horizontal"
42,2,205227,7567164,"2010-07-22","20:58:01","horizontal"
42,2,203438,7567358,"2010-07-22","21:07:00","vertical"
43,3,203937,7567143,"2010-07-28","18:25:00","horizontal"
43,3,204061,7567746,"2010-07-28","18:28:00","horizontal"
43,3,203404,7567630,"2010-07-28","18:29:00","horizontal"
43,3,203684,7567679,"2010-07-28","18:29:01","horizontal"
43,3,203595,7567731,"2010-07-28","18:30:00","horizontal"
43,3,203514,7567649,"2010-07-28","18:31:00","horizontal"
43,3,203477,7567611,"2010-07-29","18:22:00","horizontal"
43,3,203406,7567616,"2010-07-29","18:22:01","horizontal"
43,3,203407,7567630,"2010-07-29","18:23:00","horizontal"
43,3,203513,7567781,"2010-07-29","18:24:00","horizontal"
43,3,203467,7567889,"2010-07-29","18:28:00","vertical"
43,3,203410,7567874,"2010-07-29","18:29:00","vertical"
43,3,203477,7567876,"2010-07-29","18:32:00","horizontal"
43,3,203417,7567901,"2010-07-29","18:32:01","horizontal"
43,3,203470,7568088,"2010-07-29","18:32:02","horizontal"
43,3,203750,7568858,"2010-07-29","18:41:00","vertical"
43,3,203768,7568851,"2010-07-29","18:47:00","horizontal"
43,3,203768,7568845,"2010-07-29","18:49:00","horizontal"
43,3,203712,7567473,"2010-07-30","17:33:00","vertical"
43,3,203454,7567453,"2010-07-28","18:00:00","roost"
43,3,203656,7567120,"2010-07-28",NA,"horizontal"
43,3,204131,7567488,"2010-07-28",NA,"horizontal"
43,3,203453,7567608,"2010-07-28",NA,"horizontal"
43,3,204862,7567754,"2010-07-28",NA,"horizontal"
43,3,203566,7567588,"2010-07-28",NA,"horizontal"
43,3,203455,7567863,"2010-07-29",NA,"vertical"
43,3,203394,7567868,"2010-07-29",NA,"vertical"
43,3,203479,7567565,"2010-07-29",NA,"horizontal"
43,3,203414,7567589,"2010-07-29",NA,"horizontal"
43,3,203427,7567606,"2010-07-29",NA,"horizontal"
43,3,203456,7567850,"2010-07-29",NA,"horizontal"
